"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","sylhet ","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall"
"Comilla","2004","0.722","0.829","1.312","4.31","6.826","0.757","25.625","202","","2004","0.733","0.843","0.99","2.99","3.883","0.846","25.57","355.3"
"","2005","0.678","0.712","1.39","4.31","6.826","0.675","25.94","218","","2005","0.537","0.784","1.094","2.99","3.883","0.762","25.7","346"
"","2006","0.739","0.798","1.429","4.09","5.815","0.498","26.2","161","","2006","0.782","0.826","1.084","3.032","4.15","0.603","26.27","293"
"","2007","0.775","0.765","1.418","4.51","5.029","0.611","25.54","208","","2007","0.763","0.825","0.808","3.106","4.404","0.49","25.96","361"
"","2008","0.655","0.764","1.54","4.2","6.74","0.654","25.67","171","","2008","0.697","0.77","0.969","3.306","4.419","0.783","25.63","245"
"","2009","0.798","0.857","1.505","4.24","6.135","0.645","26.24","152","","2009","0.713","0.892","0.909","3.133","5.315","0.84","26.27","273"
"","2010","0.852","0.927","1.571","4.12","8.209","0.668","26.31","131","","2010","0.827","0.988","1.165","3.012","5.333","0.83","25.99","411"
"","2011","0.875","0.967","1.575","4.05","7.819","0.891","25.72","157","","2011","0.789","0.987","1.215","3.01","4.078","0.718","25.97","258"
"","2012","0.914","0.972","1.55","3.7","8.389","0.827","25.77","160","","2012","0.914","0.965","1.126","3.19","3.988","0.811","25.57","384"
"","2013","0.97","0.952","1.608","4.24","7.193","0.95","25.9","136","","2013","0.9","0.873","1.233","3.373","4.465","0.954","26.01","318"
"","2014","1.096","0.942","1.549","3.49","8.077","0.928","26.15","136.25","","2014","1.104","1.017","1.17","3.376","4.181","0.892","26.1","281"
"","2015","1.014","0.851","1.482","4.08","8.015","0.894","","","","2015","1.053","0.862","1.166","3.133","4.019","0.723","",""
"","2016","","","","","","","","","","2016","","","","","","","",""
"","2017","","","","","","","","","","2017","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall"
"Dhaka","2004","0.431","0.864","1.449","3.1","5.398","0.709","26.225","195.58","Faridpur","2004","0.434","0.583","1.557","5.22","3.356","0.811","26.08","166.75"
"","2005","0.397","0.659","1.543","3.1","5.398","0.709","26.6","219","","2005","0.343","0.447","1.567","5.22","3.356","0.596","25.87","137"
"","2006","0.488","0.721","1.443","4.42","6.547","0.596","26.87","159","","2006","0.371","0.572","1.59","5.4","6.954","0.563","26.6","137"
"","2007","0.355","0.567","1.532","3.9","8.05","0.566","26.16","190","","2007","0.302","0.635","1.533","5.32","7.103","0.678","25.95","170"
"","2008","0.41","0.529","1.794","3.44","8.526","0.596","26.38","198","","2008","0.279","0.544","1.591","3.86","7.334","0.832","26.04","120"
"","2009","0.537","0.722","1.73","4.02","6.623","0.822","27.07","160","","2009","0.398","0.758","1.668","4.36","4.823","0.768","25.85","179"
"","2010","0.608","0.574","1.628","4.37","7.755","0.452","27.12","126","","2010","0.377","0.789","1.574","5.13","6.955","1.172","26.78","162"
"","2011","0.668","0.582","1.797","4.18","7.73","1.448","26.26","148","","2011","0.363","0.788","1.678","4.86","4.623","0.937","25.95","125"
"","2012","0.597","0.606","1.699","3.85","8.019","0.79","26.55","110","","2012","0.28","0.797","1.903","3.88","6.194","1.134","26.22","106"
"","2013","0.606","0.59","1.627","3.68","7.76","0.874","26.57","132","","2013","0.45","0.808","1.826","5.41","7.498","1.203","26.19","136"
"","2014","0.804","0.645","1.723","3.79","7.904","0.956","26.65","116.58","","2014","0.494","0.824","1.747","4.09","7.438","1.286","26.13","129.33"
"","2015","0.826","0.491","1.798","4.26","7.953","0.914","","","","2015","0.637","0.938","1.645","4.11","7.436","1.271","",""
"","2016","","","","","","","","","","2016","","","","","","","",""
"","2017","","","","","","","","","","2017","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall","District","Year","Aus","Aman","Boro","Jut","Potato","Wheat","Temperature","Rainfall"
"Mymensingh","2004","0.699","0.822","1.315","3.51","3.832","0.643","25.25","266.42","Barisal","2004","0.524","0.671","1.196","2.6","4.787","0.741","26.5","210.75"
"","2005","0.625","0.772","1.338","3.51","3.832","0.582","25.4","222","","2005","0.506","0.534","1.272","2.6","4.787","0.638","26.52","161"
"","2006","0.657","0.783","1.305","3.34","2.628","0.492","25.72","163","","2006","0.582","0.644","1.317","3.07","5.071","0.631","26.625","166"
"","2007","0.692","0.762","1.292","4.71","3.654","0.626","25.24","231","","2007","0.579","0.632","1.314","3.09","6.112","0.643","25.98","194"
"","2008","0.693","0.786","1.367","3.23","3.621","0.619","25.38","186","","2008","0.54","0.44","1.499","3.75","6.629","0.752","26.15","155"
